year,date,count
2014,12-24,2091
2014,12-25,992
2014,12-26,1033
2014,12-27,1638
2014,12-28,753
2014,12-29,1302
2014,12-30,1101
2014,12-31,1321
2015,01-01,925
2015,01-02,1819
2015,01-03,2376
2015,01-04,2179
2015,01-05,5157
2015,01-06,2767
2015,01-07,7155
2015,01-08,7857
2015,01-09,7255
2015,01-10,5584
2015,01-11,3199
2015,01-12,8393
2015,01-13,9462
2015,01-14,7382
2015,01-15,9010
2015,01-16,5835
2015,01-17,3947
2015,01-18,3368
2015,01-19,7270
2015,01-20,6780
2015,01-21,8062
2015,01-22,8293
2015,01-23,7968
2015,01-24,4637
2015,01-25,2924
2015,01-26,6145
2015,01-27,7323
2015,01-28,7885
2015,01-29,7905
2015,01-30,7188
2015,01-31,4837
2015,02-01,2646
2015,02-02,6543
2015,02-03,7519
2015,02-04,7954
2015,02-05,7295
2015,02-06,6998
2015,02-07,5113
2015,02-08,2130
2015,02-09,6793
2015,02-10,7778
2015,02-11,7842
2015,02-12,7801
2015,02-13,7034
2015,02-14,4832
2015,02-15,2673
2015,02-16,5145
2015,02-17,6159
2015,02-18,6617
2015,02-19,6713
2015,02-20,6908
2015,02-21,3511
2015,02-22,2846
2015,02-23,5120
2015,02-24,7234
2015,02-25,7899
2015,02-26,7954
2015,02-27,4620
2015,02-28,5159
2015,03-01,2801
2015,03-02,7526
2015,03-03,8194
2015,03-04,7989
2015,03-05,8427
2015,03-06,8413
2015,03-07,6333
2015,03-08,4158
2015,03-09,8675
2015,03-10,8962
2015,03-11,8833
2015,03-12,9296
2015,03-13,8888
2015,03-14,6584
2015,03-15,4143
2015,03-16,8725
2015,03-17,9547
2015,03-18,9637
2015,03-19,9885
2015,03-20,9296
2015,03-21,6346
2015,03-22,3889
2015,03-23,9642
2015,03-24,10106
2015,03-25,8635
2015,03-26,7929
2015,03-27,9026
2015,03-28,6684
2015,03-29,2160
2015,03-30,6693
2015,03-31,6215
2015,04-01,6340
2015,04-02,4877
2015,04-03,2925
2015,04-04,2308
2015,04-05,2114
2015,04-06,2566
2015,04-07,7805
